,Positive,ROI_past_ma10
0,False,
202,1,-0.0014862639232985514
203,1,-0.0011181326943684334
204,1,-0.000889548876148753
205,1,-0.00038918259866015223
206,0,-0.00025057908982551515
207,1,-0.0005856212247904963
208,1,-0.0005416292438684409
209,0,-0.00046469735318598916
210,1,-0.0005023880713712825
211,0,-0.00030756024551046695
212,1,-0.00027382877031539404
213,0,-0.0001448332870379134
214,0,-9.876795222720168e-05
215,0,-0.0002462041442576516
216,1,-0.0004627154513735893
217,1,-0.0006358933579382123
218,0,-0.000570655236100365
219,0,-0.0007138956597648114
220,0,-0.0009429531359675757
221,0,-0.0012470937849470706
222,0,-0.0016463017514600996
223,0,-0.0017774095609841632
224,0,-0.0017774093220395402
225,1,-0.001876194607719981
226,0,-0.001859358543360156
227,1,-0.001937807885558498
228,1,-0.001873255019435709
229,0,-0.0016091651888925987
230,0,-0.0015605628285089513
231,0,-0.001713759648131185
232,0,-0.0020712251769565643
233,1,-0.002345425500076333
234,0,-0.0022925660888421556
235,0,-0.002394265346511891
236,1,-0.0022362710962260603
237,1,-0.002380117559944955
238,0,-0.002263258122164798
239,0,-0.0023708975831433356
240,0,-0.0026228176855364886
241,0,-0.0028586927691160746
242,0,-0.0032244324996434964
243,1,-0.003359807764285046
244,1,-0.0030009526252511107
245,1,-0.002884650398639511
246,1,-0.002315607757956511
247,1,-0.0017059878714234928
248,1,-0.0017250117830594888
249,1,-0.001616447097278252
250,0,-0.0015249699761978517
251,0,-0.0016621091158914485
252,0,-0.0017752975174083723
253,0,-0.00201903088662563
254,0,-0.0021469191952348007
255,0,-0.0027022533520171697
256,0,-0.003139412071927342
257,0,-0.0031676870347450994
258,0,-0.0032719504995070508
259,1,-0.0036612689315932753
260,1,-0.0036069691115531988
261,1,-0.003464227398613875
262,1,-0.003352817128465337
263,1,-0.0032764547985927755
264,1,-0.003029696321317046
265,1,-0.0027290642666947997
266,1,-0.0020836724149627603
267,0,-0.001761683501618095
268,0,-0.0018938705421621335
269,0,-0.0023816431298392966
270,0,-0.0027624531232536675
271,1,-0.003082061113365594
272,1,-0.002710679714765492
273,0,-0.0023366722716302215
274,0,-0.002241646266632116
275,0,-0.0023034607322072937
276,1,-0.0022791050239028636
277,0,-0.0020181935757921966
278,1,-0.002163097469689949
279,1,-0.0022041520715952103
280,1,-0.0022258557480455466
281,1,-0.002283435525453025
282,0,-0.002033306544096207
283,0,-0.001891083993129708
284,1,-0.002102964967656821
285,0,-0.0019477690250010165
286,0,-0.0018078561197152402
287,0,-0.002069679985298589
288,1,-0.002189265292011484
289,1,-0.0017586077062371095
290,1,-0.0012704924957544122
291,1,-0.001103738402989849
292,1,-0.000864492803112718
293,1,-0.0003878894361736361
294,1,-0.0003337021716204526
295,0,-0.0001871587641127089
296,0,0.00015115881117593567
297,0,0.0004157942583641249
